trecho_id;rotulo;upstream;downstream;length_m;diameter_mm;slope;uc_up_m;dc_down_m;depth_up_m;depth_down_m;depth_class_m;y_over_d_ini;y_over_d_fin;v_ini_m_s;v_fin_m_s;v_critical_m_s;shear_pa;collector_cost_usd;upstream_pv_cost_usd;row_total_usd;violates_lamina;violates_arraste;hydraulic_inconsistencies
1;1-2;1;2;100;150;0.005;198.5;198.0;1.5;2.0;2.0;0.3066388012996911;0.42202742820965766;0.4786648439832927;0.5642955998963806;3.4352592253178305;1.2804830503366982;4687.879800000001;556.0;5243.879800000001;nao;nao;
2;2-2;3;2;100;150;0.005;198.5;198.0;1.5;2.0;2.0;0.3066388012996911;0.42202742820965766;0.4786648439832927;0.5642955998963806;3.4352592253178305;1.2804830503366982;4687.879800000001;556.0;5243.879800000001;nao;nao;
3;10-2;2;4;80;150;0.007;198.0;197.44;2.0;2.5600000000000023;3.0;0.4639524730626122;0.7273434445471567;0.6977877384311135;0.813434006156606;3.9835772788148356;2.4515657561993023;4936.99006;556.0;5492.99006;nao;nao;
4;10-4;4;5;90;200;0.003;197.44;197.17;2.5600000000000023;2.8300000000000125;3.0;0.44718065899944837;0.6638780522411996;0.5441526238283146;0.6322324386045722;4.530857244813882;1.3659834607090569;6301.582379999998;844.0;7145.582379999998;nao;nao;
5;10-6;5;6;80;200;0.004;197.17;196.85;2.8300000000000125;3.1500000000000057;3.0;0.46055001836499776;0.7198371705330018;0.63687043508941;0.7435162021857122;4.593445830037184;1.8585560643654166;5601.406559999998;844.0;6445.406559999998;nao;nao;
6;4-2;7;8;90;150;0.004;198.5;198.14;1.5;1.8600000000000136;2.0;0.3249810012825556;0.4234849310614601;0.441787873254261;0.5055552434884059;3.439515222757583;1.0737909011971043;4219.091820000001;556.0;4775.091820000001;nao;nao;
7;5-2;9;8;90;150;0.004;198.5;198.14;1.5;1.8600000000000136;2.0;0.3249810012825556;0.4234849310614601;0.441787873254261;0.5055552434884059;3.439515222757583;1.0737909011971043;4219.091820000001;556.0;4775.091820000001;nao;nao;
8;8-2;8;10;80;200;0.003;198.14;197.89999999999998;1.8600000000000136;2.1000000000000227;2.0;0.36840279613577087;0.5718749766535003;0.4949790335591803;0.6030249272101652;4.372947329604701;1.1850715020685332;4361.69984;769.0;5130.69984;nao;nao;
9;8-4;10;12;60;200;0.004;197.89999999999998;197.65999999999997;2.1000000000000227;2.340000000000032;3.0;0.3812726079518802;0.56816818214749;0.5816129087402466;0.6946622943856566;4.365169040658971;1.6219971589669442;4201.054919999999;844.0;5045.054919999999;nao;nao;
10;3-2;11;12;80;150;0.009;198.5;197.78;1.5;2.219999999999999;2.0;0.26374975130036327;0.3197974315159948;0.5905868696337679;0.6569840658058267;3.0886482717162007;2.032686224503085;3750.303840000001;556.0;4306.3038400000005;nao;nao;
11;9-2;12;13;80;200;0.005;197.65999999999997;197.25999999999996;2.340000000000032;2.7400000000000375;3.0;0.44841291368852976;0.6940368520214333;0.7033922092238352;0.8250978890826559;4.567816234374421;2.280987301729386;5601.406559999998;844.0;6445.406559999998;nao;nao;
12;9-4;13;6;80;200;0.006;197.25999999999996;196.77999999999997;2.7400000000000375;3.2200000000000273;3.0;0.4456064552213882;0.6882596020743657;0.7682919616708556;0.9021344000511032;4.561314126866233;2.7252809626608836;5601.406559999998;844.0;6445.406559999998;nao;nao;
13;11-2;6;14;80;250;0.008;196.77999999999997;196.14;3.2200000000000273;3.8600000000000136;4.5;0.4459116744345528;0.6888848302796724;1.0297699342111424;1.209033409494904;5.100505845969053;4.5442984288501185;8303.569177499998;1461.0;9764.569177499998;nao;nao;
14;6-2;15;18;90;150;0.006;198.5;197.96;1.5;2.039999999999992;2.0;0.29253779672303737;0.379026053331706;0.5109790270961363;0.5862609744457319;3.301450488226513;1.4781770699598644;4219.091820000001;556.0;4775.091820000001;nao;nao;
15;7-2;16;18;90;150;0.004;198.5;198.14;1.5;1.8600000000000136;2.0;0.3249810012825556;0.4234849310614601;0.441787873254261;0.5055552434884059;3.439515222757583;1.0737909011971043;4219.091820000001;556.0;4775.091820000001;nao;nao;
16;12-2;18;17;80;150;0.007;197.96;197.4;2.039999999999992;2.5999999999999943;3.0;0.4448355430050862;0.6866836908495113;0.6844760532790821;0.8039348606198942;3.9486364407300325;2.381748684118564;4936.99006;556.0;5492.99006;nao;nao;
17;12-4;17;14;70;150;0.009;197.4;196.77;2.5999999999999943;3.2299999999999898;3.0;0.4743641010468761;0.7512410011435477;0.7991113465368388;0.9269122353646795;3.9983544244359805;3.1993047370613192;4319.8663025;556.0;4875.8663025;sim;nao;lamina y/D final = 0.7512 > 0.7500
18;13-2;14;19;60;300;0.009;196.14;195.6;3.8600000000000136;4.400000000000006;4.5;0.3906358869308868;0.5845592741523653;1.157190068783535;1.3794126284643615;5.3873225134851435;5.575087781753015;7219.547804999999;1461.0;8680.547804999998;nao;nao;

summary_key;summary_value
solution_feasible;nao
hydraulic_message;"Nao atende a todos os limitantes hidraulicos adotados; ver trechos problematicos."
excess_lamina;0.0012410011435477486
deficit_shear;0.0
problematic_section;Trecho 17 (12-4, 17->14): lamina y/D final = 0.7512 > 0.7500
final_pv_cost_usd;1461.0
total_cost_usd;106319.95094499998
